Chr	HepG2	HepG2_3h	HL_7702
chr1	6604	7627	9300
chr2	5142	6330	4965
chr3	3527	4300	4540
chr4	2085	2761	3147
chr5	3815	4483	4703
chr6	3118	3895	3189
chr7	3537	4193	3694
chr8	2520	3081	2456
chr9	2997	3406	3776
chr10	2849	3265	3541
chr11	2624	3037	3680
chr12	3694	4094	3689
chr13	1674	1793	1410
chr14	2019	2263	2926
chr15	2400	2876	3252
chr16	2832	2994	3728
chr17	3338	3469	4655
chr18	1431	1753	1138
chr19	2375	2317	2842
chr20	1505	1635	1557
chr21	1245	1434	1267
chr22	1624	1665	1724
chrX	1077	1256	1199
chrY	77	65	92
chrM	34	34	36
other	644	705	665
